PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
1888,241057184,-0.461828262,0.621064365,-45.43294525,-0.082901336,-0.092935234,9.440670967,1.354941726,-1.248373747,0.491229713, 
1889,241065517,-0.461286485,0.620838046,-45.43333817,-0.096480072,-0.099211209,9.412333488,1.363317728,-1.32232213,0.489667356, 
1890,241073850,-0.461019516,0.620598853,-45.43374634,-0.083054781,-0.068778977,9.411833763,1.331632853,-1.326112986,0.438438833, 
1891,241082183,-0.460985601,0.621123612,-45.43385696,-0.101100937,-0.081371635,9.43167305,1.302842379,-1.233824849,0.515102267, 
1892,241090516,-0.46105811,0.621782839,-45.43344116,-0.082231082,-0.071750827,9.419603348,1.288127184,-1.219698668,0.540678084, 
1893,241098849,-0.460455328,0.622426033,-45.43363571,-0.101230823,-0.081708334,9.401101112,1.371988058,-1.218187332,0.506380558, 
1894,241107182,-0.460672617,0.622660995,-45.43362427,-0.093732946,-0.076726906,9.410169601,1.27082479,-1.269941092,0.492023885, 
1895,241115515,-0.4598234,0.622273743,-45.43356323,-0.091194183,-0.073055767,9.440481186,1.400765777,-1.344094396,0.5157426, 
1896,241123848,-0.459933788,0.622696757,-45.43286133,-0.093202084,-0.068560295,9.416119576,1.283721447,-1.247720718,0.572183669, 
1897,241132181,-0.45969677,0.62224704,-45.43286133,-0.102242872,-0.090116479,9.410271645,1.328187823,-1.350356817,0.501360238, 
1898,241140514,-0.459265292,0.622459471,-45.43303299,-0.109756134,-0.060295969,9.38937664,1.34962678,-1.271567345,0.467728734, 
1899,241148847,-0.460257798,0.621922314,-45.43368912,-0.081943743,-0.081179507,9.426628113,1.17991972,-1.360717893,0.445687681, 
1900,241157180,-0.459891379,0.622195065,-45.43383789,-0.08978647,-0.089344777,9.404934883,1.342288494,-1.265304923,0.471353233, 
1901,241165513,-0.460022092,0.62182492,-45.43406677,-0.094155855,-0.068069637,9.39831543,1.283798218,-1.340213656,0.485709906, 
1902,241173846,-0.459270418,0.621910512,-45.43479538,-0.10518378,-0.078662105,9.414548874,1.389034271,-1.28679502,0.400504142, 
1903,241182179,-0.459058315,0.621399224,-45.43489075,-0.088215619,-0.068477184,9.413520813,1.325088382,-1.358322859,0.513706326, 
1904,241190512,-0.458855569,0.621486366,-45.43525314,-0.0783609,-0.078750432,9.444008827,1.32232213,-1.286346912,0.443318397, 
1905,241198845,-0.458979011,0.620676756,-45.43507385,-0.098307811,-0.069753334,9.393881798,1.283593178,-1.394669414,0.550180912, 
1906,241207178,-0.458872616,0.620869815,-45.43504333,-0.094203345,-0.078927077,9.401228905,1.310232162,-1.274769187,0.492651373, 
1907,241215511,-0.45933333,0.621652782,-45.43540955,-0.090969905,-0.077153206,9.411193848,1.244736433,-1.201640487,0.46916315, 
1908,241223844,-0.45941022,0.622089982,-45.43531799,-0.084729493,-0.094240569,9.424533844,1.288549542,-1.244634032,0.501321793, 
1909,241232177,-0.459133923,0.620749474,-45.43546677,-0.120485425,-0.087274499,9.421582222,1.331607223,-1.458179832,0.51074779, 
1910,241240510,-0.459079653,0.620123506,-45.43645477,-0.102062479,-0.073219255,9.410263062,1.306236386,-1.372282624,0.368780971, 
1911,241248843,-0.45905003,0.619428813,-45.43687057,-0.111275211,-0.063719898,9.407931328,1.302406907,-1.378993511,0.469304025, 
1912,241257176,-0.458605915,0.619169414,-45.43754578,-0.095293581,-0.082628898,9.432723999,1.352098703,-1.327931643,0.406497926, 
1913,241265509,-0.458646417,0.619333744,-45.43704224,-0.087443754,-0.078539558,9.414675713,1.294005394,-1.278316617,0.588102818, 
1914,241273842,-0.458868504,0.619605303,-45.43723297,-0.105869621,-0.081024878,9.410173416,1.271016717,-1.265138268,0.467651844, 
1915,241282175,-0.459158033,0.619117618,-45.43709564,-0.104051024,-0.067432895,9.420441628,1.264485121,-1.355121017,0.548413575, 
1916,241290508,-0.458270371,0.617877483,-45.43638611,-0.103676215,-0.08375477,9.444489479,1.403826594,-1.446794391,0.573566735, 
1917,241298841,-0.458527207,0.617467701,-45.43714523,-0.091833465,-0.077464484,9.407337189,1.268813848,-1.345208287,0.457483023, 
1918,241307174,-0.458307415,0.617310166,-45.43778229,-0.106908925,-0.07705114,9.410829544,1.323820591,-1.316610217,0.413132042, 
1919,241315507,-0.470356673,0.614708781,-45.44153595,-0.09222278,-0.103554308,9.396874428,1.347692966,-1.352956653,0.546223462, 
1920,241323840,-0.470290601,0.615042806,-45.44145966,-0.092799857,-0.082950361,9.418404579,1.306543708,-1.257044196,0.498696387, 
1921,241332173,-0.470284104,0.615610421,-45.44155121,-0.096200302,-0.08669658,9.418455124,1.300498605,-1.229073405,0.528639376, 
1922,241340506,-0.469351351,0.615113795,-45.44130325,-0.107759207,-0.095266812,9.415258408,1.410678506,-1.357285619,0.520122707, 
1923,241348839,-0.469498783,0.614305317,-45.44142151,-0.097317159,-0.088549584,9.414097786,1.280097246,-1.394733667,0.571812212, 
1924,241357172,-0.469996363,0.614171147,-45.44152832,-0.075332992,-0.096039459,9.409082413,1.240753531,-1.313049674,0.47557947, 
1925,241365505,-0.469581008,0.6140064,-45.44210434,-0.088052146,-0.104066141,9.402033806,1.349178553,-1.315816045,0.474606156, 
1926,241373838,-0.46920833,0.614212275,-45.44262314,-0.073391072,-0.080073252,9.419952393,1.345208406,-1.273168325,0.428321213, 
1927,241382171,-0.469128281,0.615015686,-45.44324875,-0.082496844,-0.080278516,9.412780762,1.310155272,-1.199002266,0.439757973, 
1928,241390504,-0.469027877,0.615736365,-45.44262314,-0.077335931,-0.089834943,9.390219688,1.310667515,-1.212808371,0.566266716, 
1929,241398837,-0.46928671,0.61508441,-45.44291687,-0.082517244,-0.065852202,9.424916267,1.267968655,-1.374101162,0.497338802, 
1930,241407170,-0.46982187,0.615641236,-45.44298935,-0.0949848,-0.095560312,9.402856827,1.235989213,-1.230315685,0.481547594, 
1931,241415503,-0.469058752,0.615272522,-45.4430809,-0.090301961,-0.097362265,9.41962719,1.390686274,-1.342109084,0.51437223, 
1932,241423836,-0.468898147,0.615142465,-45.44262314,-0.093681611,-0.078595944,9.411428452,1.317007065,-1.312742352,0.544763505, 
1933,241432169,-0.46936661,0.615101516,-45.44272614,-0.096321084,-0.076797254,9.415513992,1.244646788,-1.302394032,0.508801103, 
1934,241440502,-0.469347566,0.615191102,-45.44242477,-0.097064868,-0.067427106,9.409545898,1.301421046,-1.286679983,0.524131298, 
1935,241448835,-0.469105363,0.615141749,-45.44335938,-0.091778435,-0.066835128,9.431690216,1.32980144,-1.301741123,0.417960316, 
1936,241457168,-0.469578922,0.614989042,-45.44297028,-0.10168694,-0.085682489,9.427610397,1.242431283,-1.3158288,0.53727138, 
1937,241465501,-0.46954599,0.615318835,-45.44256592,-0.097780459,-0.059126265,9.396361351,1.302176595,-1.257722974,0.579829454, 
1938,241473834,-0.469377965,0.614814937,-45.44318771,-0.105759628,-0.070511952,9.416028023,1.320618749,-1.357618451,0.416615516, 
1939,241482167,-0.469557703,0.614199281,-45.44402313,-0.101897977,-0.080209844,9.417387962,1.279238939,-1.369849443,0.453897089, 
1940,241490500,-0.469517231,0.61393559,-45.44503403,-0.091303378,-0.079732604,9.420499802,1.305519104,-1.328098059,0.369728684, 
1941,241498833,-0.469960302,0.61368978,-45.44538879,-0.091865711,-0.057074577,9.417970657,1.246106863,-1.325882435,0.477398098, 
1942,241507166,-0.470635891,0.614144444,-45.44528961,-0.097072653,-0.082056254,9.41418457,1.217342138,-1.242918015,0.501245022, 
1943,241515499,-0.470496684,0.613842905,-45.4444046,-0.096559145,-0.055501476,9.407390594,1.316264391,-1.333284974,0.627138972, 
1944,241523832,-0.471048206,0.613794506,-45.44396591,-0.10573072,-0.083223194,9.410651207,1.2327106,-1.304315209,0.542278945, 
1945,241532165,-0.470717579,0.613305449,-45.44419479,-0.09764684,-0.079292536,9.388081551,1.339534998,-1.35614574,0.514858961, 
1946,241540498,-0.471090376,0.613354862,-45.44403076,-0.096008949,-0.084632218,9.414177895,1.252958655,-1.291777015,0.508890748, 
1947,241548831,-0.471263468,0.613764882,-45.44377136,-0.072131373,-0.079388522,9.441282272,1.279430985,-1.24663198,0.560055256, 
1948,241557164,-0.470368445,0.612596869,-45.44356537,-0.093139365,-0.093895152,9.431842804,1.40663147,-1.43802166,0.512668908, 
1949,241565497,-0.471037745,0.612709582,-45.44416046,-0.094136171,-0.09050747,9.405309677,1.219314456,-1.283004284,0.471122712, 
1950,241573830,-0.471426696,0.613311589,-45.44353104,-0.088341855,-0.064083293,9.413257599,1.251626849,-1.226486564,0.566625357, 
1951,241582163,-0.471807212,0.61308825,-45.44342041,-0.1041537,-0.075947195,9.411180496,1.254469991,-1.322565436,0.536656618, 
1952,241590496,-0.472253919,0.613844693,-45.44317627,-0.094941102,-0.078664534,9.401279449,1.24427557,-1.20765996,0.520263553, 
1953,241598829,-0.471776426,0.612852097,-45.44293594,-0.091046348,-0.095137917,9.39648056,1.356991053,-1.414968848,0.563718081, 
1954,241607162,-0.47268784,0.613221824,-45.44353104,-0.087033913,-0.093781039,9.385416985,1.191126108,-1.253816962,0.418293297, 
1955,241615495,-0.47322917,0.613051295,-45.44384384,-0.107386485,-0.081771456,9.412189484,1.234452605,-1.31507349,0.49829933, 
1956,241623828,-0.47372517,0.613583446,-45.4439621,-0.10288015,-0.084222712,9.416861534,1.239472628,-1.234362721,0.476962626, 
1957,241632161,-0.473883986,0.613574922,-45.44423676,-0.07487306,-0.084143817,9.441926003,1.281249642,-1.296784639,0.504702866, 
1958,241640494,-0.473563075,0.613968134,-45.44406509,-0.091672793,-0.078586966,9.404218674,1.338395,-1.250422955,0.51061976, 
1959,241648827,-0.473519772,0.613250673,-45.44473267,-0.110695802,-0.075473599,9.389529228,1.304648399,-1.383066297,0.453743398, 
1960,241657160,-0.473485678,0.61334455,-45.44445801,-0.110471472,-0.079070702,9.405036926,1.302535176,-1.286564708,0.522607267, 
1961,241665493,-0.473720163,0.613624513,-45.44494247,-0.097317956,-0.099011488,9.416812897,1.272412896,-1.26197505,0.470943362, 
1962,241673826,-0.472662657,0.613518357,-45.44441986,-0.082331017,-0.059676304,9.409412384,1.425764918,-1.311640859,0.553293109, 
1963,241682159,-0.4729065,0.613159418,-45.44435501,-0.087875821,-0.067308895,9.433256149,1.271375299,-1.339163303,0.530048072, 
1964,241690492,-0.472590566,0.612138569,-45.44467163,-0.083521269,-0.076440796,9.402420044,1.33743453,-1.420206904,0.451258808, 
1965,241698825,-0.471912235,0.612130284,-45.44480896,-0.117813759,-0.070325643,9.420928001,1.380389452,-1.297335267,0.496314198, 
1966,241707158,-0.471724629,0.611541808,-45.44523621,-0.09411139,-0.06248308,9.400661469,1.323269725,-1.367492676,0.437170923, 
1967,241715491,-0.471880317,0.612304688,-45.44499207,-0.109186605,-0.065585002,9.395199776,1.28071177,-1.204522252,0.5538311, 
1968,241723824,-0.471618265,0.612678349,-45.44462204,-0.110024296,-0.059993014,9.413881302,1.329455614,-1.25439322,0.533621371, 
1969,241732157,-0.471275151,0.613044679,-45.44570923,-0.101345792,-0.074437238,9.404370308,1.341980934,-1.25154984,0.428577363, 
1970,241740490,-0.471551299,0.613078356,-45.44673538,-0.104741104,-0.082743488,9.412656784,1.267840505,-1.292084455,0.367064774, 
1971,241748823,-0.470816523,0.613090634,-45.44716644,-0.10133066,-0.044937409,9.423576355,1.388329983,-1.29574728,0.491191417, 
1972,241757156,-0.47076419,0.613367796,-45.44691086,-0.122578144,-0.074970901,9.395080566,1.304315448,-1.263934493,0.519930601, 
1973,241765489,-0.470370054,0.614168763,-45.44777298,-0.104955241,-0.076627195,9.40853405,1.347539425,-1.199501991,0.463592052, 
1974,241773822,-0.47040543,0.613722801,-45.44830704,-0.087810919,-0.086442962,9.397687912,1.297053576,-1.351214886,0.425682962, 
1975,241782155,-0.471173018,0.613958478,-45.44869232,-0.073769696,-0.088758267,9.389727592,1.207800865,-1.268288732,0.488194495, 
1976,241790488,-0.470159858,0.613791227,-45.44852448,-0.076220676,-0.079949051,9.435379982,1.419579268,-1.318467021,0.510043442, 
1977,241798821,-0.469748706,0.613016844,-45.44908142,-0.100689158,-0.086475879,9.405721664,1.349998236,-1.388381124,0.484032184, 
1978,241807154,-0.4702757,0.61362499,-45.44850922,-0.08195813,-0.089876294,9.400414467,1.234657288,-1.226243019,0.55851841, 
1979,241815487,-0.470534354,0.614126861,-45.44873428,-0.097895451,-0.098754331,9.391062737,1.2691468,-1.236091614,0.511170447, 
1980,241823820,-0.470330149,0.614382744,-45.44841385,-0.075177379,-0.087583706,9.388752937,1.322885633,-1.267571688,0.527409852, 
1981,241832153,-0.470485359,0.614785552,-45.44852066,-0.081799053,-0.082631819,9.418881416,1.281416059,-1.24797678,0.507763803, 
1982,241840486,-0.470100105,0.615482092,-45.44823456,-0.083723068,-0.080988728,9.40357399,1.345118642,-1.213627934,0.524694741, 
1983,241848819,-0.470172018,0.615808845,-45.44784164,-0.085657515,-0.086011849,9.386593819,1.290470719,-1.257799745,0.584593654, 
1984,241857152,-0.470253557,0.61681211,-45.44724655,-0.094629638,-0.074600309,9.417401314,1.288280725,-1.178715825,0.561271906, 
1985,241865485,-0.470443279,0.61601305,-45.44731522,-0.09977109,-0.05705991,9.41644001,1.277445912,-1.391569972,0.531175196, 
1986,241873818,-0.46954751,0.616362512,-45.44672012,-0.089682855,-0.056651652,9.423949242,1.405286551,-1.257197857,0.560708404, 
1987,241882151,-0.469124407,0.616754591,-45.44690704,-0.113603204,-0.069953762,9.411529541,1.350280046,-1.24934721,0.501731634, 
1988,241890484,-0.470043331,0.616399467,-45.44727325,-0.103024088,-0.071998432,9.432546616,1.189922094,-1.340392828,0.446263999, 
1989,241898817,-0.470021397,0.615931034,-45.44827652,-0.107948102,-0.071360275,9.414684296,1.303239346,-1.35068965,0.400901169, 
1990,241907150,-0.470130891,0.616225183,-45.44798279,-0.104535937,-0.078643449,9.402632713,1.285745025,-1.263985634,0.525463223, 
1991,241915483,-0.469905019,0.61594522,-45.44863129,-0.104472488,-0.062829286,9.417107582,1.32688117,-1.328789592,0.461991131, 
1992,241923816,-0.470060974,0.615464389,-45.44863129,-0.101162717,-0.08136002,9.41157341,1.28086555,-1.355825663,0.489718586, 
1993,241932149,-0.469807684,0.614148617,-45.44911194,-0.100249767,-0.062553734,9.409638405,1.330288172,-1.453095555,0.490499854, 
1994,241940482,-0.470223308,0.614510536,-45.44902039,-0.081481628,-0.068402983,9.422255516,1.249436855,-1.254546881,0.500092387, 
1995,241948815,-0.470390379,0.614491761,-45.44963837,-0.089768581,-0.088513076,9.396896362,1.279507756,-1.297143221,0.424171716, 
1996,241957148,-0.47051695,0.614086032,-45.44963837,-0.084169112,-0.064591415,9.427018166,1.285219908,-1.347552061,0.4907175, 
1997,241965481,-0.470684022,0.613538802,-45.45008087,-0.097540773,-0.080600433,9.434332848,1.279751182,-1.362113833,0.475925356, 
