PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
4095,1402169117,-0.676207542,0.138610438,-170.0579834,-0.03629208,-0.099576972,9.42331028,1.300050378,-1.514403105,0.483673543,-0.078857422,-0.421386719,-1.037841797, 
4096,1402177450,-0.676323891,0.137605041,-170.0578156,-0.03008257,-0.090672083,9.424888611,1.270786166,-1.531244516,0.489244699,-0.081298828,-0.421875,-1.037841797, 
4097,1402185783,-0.675674915,0.136688575,-170.0592194,0.005337624,-0.099842899,9.421307564,1.364252448,-1.517668962,0.391680062,-0.081298828,-0.419921875,-1.040283203, 
4098,1402194116,-0.675558269,0.135782927,-170.0592041,0.00249048,-0.096136041,9.397746086,1.299371719,-1.518898487,0.474337161,-0.081787109,-0.420898438,-1.039306641, 
4099,1402202449,-0.675338686,0.136721194,-170.0595245,0.007618407,-0.127691492,9.40557766,1.311064482,-1.296759009,0.506316602,-0.078125,-0.418945313,-1.037353516, 
4100,1402210782,-0.675237179,0.136006296,-170.0597992,-0.00439252,-0.115583286,9.448313713,1.299026012,-1.494449735,0.44033435,-0.08203125,-0.417480469,-1.035888672, 
4101,1402219115,-0.675148427,0.136129603,-170.0601654,0.001781023,-0.134960815,9.4268713,1.294287205,-1.396014214,0.512207866,-0.079589844,-0.41796875,-1.035888672, 
4102,1402227448,-0.675253391,0.136131912,-170.0597229,-0.031871751,-0.130542055,9.396618843,1.273847103,-1.409512877,0.527755678,-0.080078125,-0.41796875,-1.039794922, 
4103,1402235781,-0.67573595,0.135298535,-170.0602875,-0.018877588,-0.124718331,9.415277481,1.227626204,-1.510650635,0.481509179,-0.081054688,-0.416503906,-1.032714844, 
4104,1402244114,-0.675308585,0.135218024,-170.0600128,-0.025226988,-0.116410993,9.422538757,1.336461067,-1.418644547,0.503998518,-0.082763672,-0.419433594,-1.040283203, 
4105,1402252447,-0.674189091,0.136051893,-170.0602264,-0.044185419,-0.116127998,9.422870636,1.419925094,-1.309412479,0.522991419,-0.079101563,-0.419433594,-1.038330078, 
4106,1402260780,-0.674111307,0.135525167,-170.0600281,-0.033770289,-0.102613129,9.428560257,1.295311809,-1.473241091,0.494201005,-0.080322266,-0.419433594,-1.038818359, 
4107,1402269113,-0.674483061,0.135758236,-170.0612183,-0.019311039,-0.098774455,9.44745636,1.240356445,-1.38135004,0.409686863,-0.079833984,-0.419433594,-1.036865234, 
4108,1402277446,-0.674123883,0.135456279,-170.0615082,0.006492127,-0.082467467,9.439109802,1.328853607,-1.444437861,0.438272357,-0.080810547,-0.418945313,-1.036865234, 
4109,1402285779,-0.673885763,0.135002732,-170.0630035,0.012707931,-0.089804545,9.468407631,1.314240813,-1.462816119,0.372533411,-0.080566406,-0.417480469,-1.03515625, 
4110,1402294112,-0.673228979,0.134960979,-170.0628204,0.002250173,-0.078018531,9.435533524,1.364828825,-1.414097786,0.494610876,-0.077392578,-0.420410156,-1.033691406, 
4111,1402302445,-0.672481775,0.134261623,-170.0630951,0.002698876,-0.096683517,9.423174858,1.374562263,-1.494296074,0.51305306,-0.081787109,-0.419921875,-1.037353516, 
4112,1402310778,-0.672714651,0.134086549,-170.0626831,-0.030075837,-0.090917163,9.425096512,1.258696318,-1.430862308,0.521211267,-0.083251953,-0.418945313,-1.038330078, 
4113,1402319111,-0.673181772,0.133598641,-170.0626068,-0.027687406,-0.121371701,9.444919586,1.228561282,-1.46829772,0.552089274,-0.081054688,-0.41796875,-1.037353516, 
4114,1402327444,-0.673925638,0.133485407,-170.0630341,-0.062235858,-0.129191115,9.444062233,1.195979834,-1.423754334,0.42015028,-0.080078125,-0.41796875,-1.038330078, 
4115,1402335777,-0.673792183,0.133476138,-170.0638275,-0.062401298,-0.114521831,9.423589706,1.302355647,-1.409589648,0.451809496,-0.079101563,-0.420410156,-1.043212891, 
4116,1402344110,-0.673941255,0.13404952,-170.0643463,-0.065640301,-0.129083946,9.400145531,1.267315507,-1.340277553,0.412773401,-0.081542969,-0.41796875,-1.035888672, 
4117,1402352443,-0.673739731,0.133329347,-170.0647888,-0.079668246,-0.135406628,9.41192627,1.309604645,-1.496268272,0.499964207,-0.078857422,-0.420410156,-1.036865234, 
4118,1402360776,-0.674552023,0.133014381,-170.0642548,-0.040261265,-0.131842002,9.394732475,1.188500524,-1.44793427,0.535030127,-0.082519531,-0.416992188,-1.039794922, 
4119,1402369109,-0.67588377,0.132862136,-170.0652161,-0.043888096,-0.092452712,9.460898399,1.126437426,-1.426905155,0.443305582,-0.082275391,-0.420898438,-1.034423828, 
4120,1402377442,-0.675492048,0.132850736,-170.0652161,-0.00958832,-0.094242051,9.436451912,1.332708597,-1.411357164,0.473607183,-0.082763672,-0.419921875,-1.039306641, 
4121,1402385775,-0.675296724,0.13254787,-170.0657806,-0.005283298,-0.08685188,9.421151161,1.308426261,-1.444783688,0.47043106,-0.082275391,-0.418945313,-1.038818359, 
4122,1402394108,-0.676041007,0.131547555,-170.0656128,0.003757368,-0.068653509,9.423885345,1.196645617,-1.529643536,0.492100686,-0.081787109,-0.419433594,-1.034179688, 
4123,1402402441,-0.676339447,0.131625935,-170.065567,0.015391044,-0.062310148,9.440414429,1.249616265,-1.40029192,0.546326041,-0.082763672,-0.419921875,-1.036865234, 
4124,1402410774,-0.676202893,0.131581247,-170.0654907,-0.001717771,-0.087351605,9.423574448,1.301561713,-1.4150455,0.482495338,-0.080810547,-0.420410156,-1.040771484, 
4125,1402419107,-0.675955474,0.132394359,-170.0663452,-0.003296997,-0.106460854,9.441862106,1.315034986,-1.312076569,0.438925564,-0.082763672,-0.420410156,-1.040283203, 
4126,1402427440,-0.676036894,0.132187635,-170.0657349,-0.012167801,-0.100852758,9.439071655,1.276844025,-1.435178399,0.544609845,-0.077392578,-0.422363281,-1.035400391, 
4127,1402435773,-0.676421285,0.1325697,-170.0661316,-0.032708362,-0.100513913,9.398568153,1.238192201,-1.363458633,0.492510498,-0.079101563,-0.414550781,-1.040283203, 
4128,1402444106,-0.676094711,0.132490128,-170.0657959,-0.043853838,-0.125672042,9.414646149,1.324691296,-1.420322061,0.511260092,-0.080322266,-0.418945313,-1.036865234, 
4129,1402452439,-0.676128626,0.132391512,-170.0669403,-0.045561794,-0.121408768,9.440596581,1.281236768,-1.420949578,0.404256642,-0.077148438,-0.418457031,-1.039306641, 
4130,1402460772,-0.675777853,0.132189199,-170.0667725,-0.018964011,-0.121692769,9.428553581,1.328392744,-1.433116555,0.493547887,-0.081054688,-0.416015625,-1.039794922, 
4131,1402469105,-0.675535679,0.132060498,-170.0679169,0.001225386,-0.119875409,9.452548027,1.314087033,-1.424112916,0.423556924,-0.083251953,-0.419433594,-1.040283203, 
4132,1402477438,-0.675157666,0.131484896,-170.0683594,-0.011268806,-0.107097983,9.426182747,1.331863284,-1.477467418,0.416717976,-0.080078125,-0.416992188,-1.039794922, 
4133,1402485771,-0.67509985,0.131015643,-170.0690765,0.004138078,-0.129758805,9.395727158,1.292596698,-1.465966582,0.446276814,-0.076904297,-0.419433594,-1.034179688, 
4134,1402494104,-0.67538023,0.130784124,-170.0690765,0.014444797,-0.115352236,9.42278862,1.251588464,-1.436408043,0.47301808,-0.083251953,-0.419433594,-1.038818359, 
4135,1402502437,-0.674277961,0.131270766,-170.0701752,-0.00622533,-0.112110831,9.431506157,1.417466044,-1.350728035,0.436466545,-0.079345703,-0.419921875,-1.037353516, 
4136,1402510770,-0.673917353,0.130893916,-170.0697021,-0.036430273,-0.117896408,9.424585342,1.328764081,-1.455720901,0.529241383,-0.078125,-0.418945313,-1.039306641, 
4137,1402519103,-0.674763858,0.131762788,-170.070282,-0.031987444,-0.112024158,9.433369637,1.184581518,-1.306236267,0.487694979,-0.082763672,-0.420410156,-1.035400391, 
4138,1402527436,-0.674995065,0.132271156,-170.0701141,-0.040682834,-0.128427565,9.44761467,1.257851005,-1.348179579,0.492702574,-0.080810547,-0.419433594,-1.037353516, 
4139,1402535769,-0.674490094,0.131937236,-170.0711212,-0.052720565,-0.120517969,9.403681755,1.346425056,-1.448100924,0.414835364,-0.081787109,-0.420410156,-1.037353516, 
4140,1402544102,-0.674819291,0.131389782,-170.0711212,-0.033362228,-0.105380818,9.41768837,1.245146394,-1.475866556,0.471980691,-0.081787109,-0.419921875,-1.037353516, 
4141,1402552435,-0.674752295,0.131837368,-170.0721893,-0.059090313,-0.102134354,9.414067268,1.293877482,-1.353981137,0.412824631,-0.081787109,-0.418945313,-1.034912109, 
4142,1402560768,-0.674030244,0.131078064,-170.0722046,-0.021528857,-0.086450465,9.406395912,1.372154593,-1.501544952,0.469432116,-0.077148438,-0.41796875,-1.035644531, 
4143,1402569101,-0.673250973,0.13171488,-170.0731354,-0.003279139,-0.10722205,9.426161766,1.379313707,-1.332093835,0.431074739,-0.080810547,-0.421875,-1.036865234, 
4144,1402577434,-0.673336089,0.131562099,-170.0733032,-0.025075126,-0.080668539,9.409079552,1.276421428,-1.426405549,0.44928655,-0.084228516,-0.420898438,-1.036376953, 
4145,1402585767,-0.673492014,0.131943733,-170.0738068,0.006258649,-0.081912555,9.416099548,1.265701771,-1.364201307,0.492305577,-0.079589844,-0.419433594,-1.039306641, 
4146,1402594100,-0.672831833,0.131627381,-170.0740051,0.002488547,-0.084076732,9.448845863,1.364956856,-1.447550058,0.447403848,-0.075683594,-0.419433594,-1.034667969, 
4147,1402602433,-0.672833264,0.131841332,-170.0743408,0.006009821,-0.098716535,9.417153358,1.285668135,-1.384833574,0.511554658,-0.082763672,-0.421875,-1.035888672, 
4148,1402610766,-0.672895074,0.131975845,-170.0738831,8.93973E-05,-0.114951059,9.431154251,1.278265595,-1.393132687,0.526820838,-0.081787109,-0.419433594,-1.037841797, 
4149,1402619099,-0.672635436,0.131155953,-170.0752869,-0.030036166,-0.102767467,9.411206245,1.316584349,-1.507295251,0.366731793,-0.081787109,-0.418457031,-1.036376953, 
4150,1402627432,-0.672269404,0.130585462,-170.0752563,-0.017515641,-0.126133099,9.426657677,1.329327583,-1.477441907,0.476117402,-0.082519531,-0.416503906,-1.03515625, 
4151,1402635765,-0.671724916,0.13143754,-170.0758362,-0.045318484,-0.14275676,9.442237854,1.350741029,-1.306799889,0.471558034,-0.081054688,-0.41796875,-1.039306641, 
4152,1402644098,-0.671468794,0.131189212,-170.0758209,-0.043800499,-0.159090519,9.406730652,1.316494823,-1.439097404,0.473351121,-0.079833984,-0.421386719,-1.038330078, 
4153,1402652431,-0.670606911,0.131692111,-170.0765839,-0.051311426,-0.143791988,9.425894737,1.38903451,-1.348628044,0.449786007,-0.081542969,-0.416992188,-1.037841797, 
4154,1402660764,-0.67034924,0.131730899,-170.0771027,-0.031379253,-0.136347726,9.43473053,1.317391276,-1.404031396,0.41010952,-0.081298828,-0.419921875,-1.036376953, 
4155,1402669097,-0.670114696,0.132215247,-170.077713,-0.010602318,-0.113801278,9.414626122,1.312345266,-1.351214886,0.466537684,-0.082763672,-0.423828125,-1.040771484, 
4156,1402677430,-0.67030108,0.1324981,-170.0774231,-0.016157458,-0.102535665,9.416942596,1.264754176,-1.375907183,0.50826329,-0.079833984,-0.420410156,-1.037841797, 
4157,1402685763,-0.669754982,0.132688016,-170.0771637,0.015649717,-0.095328882,9.416800499,1.350881815,-1.388317108,0.571005344,-0.083740234,-0.419921875,-1.034912109, 
4158,1402694096,-0.670015097,0.132167444,-170.0764008,0.012831328,-0.109261893,9.422503471,1.254726171,-1.472844124,0.564038277,-0.080810547,-0.420898438,-1.039794922, 
4159,1402702429,-0.670288146,0.131988615,-170.0763397,-0.018300898,-0.091781229,9.438534737,1.252548933,-1.431323409,0.536938369,-0.082275391,-0.419433594,-1.037353516, 
4160,1402710762,-0.670085669,0.131599471,-170.0758209,-0.021751288,-0.070825033,9.411708832,1.308874488,-1.457372904,0.534991682,-0.08203125,-0.417480469,-1.037841797, 
4161,1402719095,-0.66999948,0.131635904,-170.0764313,-0.030609177,-0.092289984,9.433659554,1.296157241,-1.404364467,0.462336898,-0.081298828,-0.422363281,-1.034912109, 
4162,1402727428,-0.670226753,0.132628769,-170.0770874,-0.027391665,-0.094286464,9.445118904,1.258248091,-1.289715052,0.394510418,-0.083251953,-0.419433594,-1.033691406, 
4163,1402735761,-0.670388222,0.132878751,-170.0777435,-0.067722619,-0.093425117,9.430682182,1.26559937,-1.379595518,0.476245522,-0.079345703,-0.421386719,-1.038330078, 
4164,1402744094,-0.670433998,0.133249089,-170.0777435,-0.046827115,-0.114057019,9.440338135,1.280353069,-1.364252567,0.472352087,-0.081787109,-0.421875,-1.036376953, 
4165,1402752427,-0.670695782,0.133925512,-170.0781403,-0.04337607,-0.100679822,9.441223145,1.253586292,-1.32957077,0.49563539,-0.082763672,-0.420410156,-1.037841797, 
4166,1402760760,-0.670943797,0.133904293,-170.0788269,-0.019011762,-0.103248477,9.422085762,1.256403804,-1.410870433,0.389771789,-0.083251953,-0.422851563,-1.033447266, 
4167,1402769093,-0.670859396,0.133850038,-170.07901,-0.012389999,-0.102234058,9.418428421,1.296554208,-1.416774631,0.511375427,-0.082763672,-0.423339844,-1.037353516, 
4168,1402777426,-0.670323074,0.133750707,-170.0788269,0.001796687,-0.097232409,9.422889709,1.349473238,-1.420386195,0.493471086,-0.081787109,-0.419433594,-1.038330078, 
4169,1402785759,-0.670565605,0.133022159,-170.0792389,-0.003396576,-0.106300056,9.418241501,1.256327033,-1.498445392,0.491998225,-0.081787109,-0.420410156,-1.036376953, 
4170,1402794092,-0.670248449,0.133303031,-170.0785522,0.017231036,-0.111122929,9.422753334,1.323577166,-1.37650907,0.555892944,-0.083007813,-0.417480469,-1.040283203, 
4171,1402802425,-0.670428991,0.132761002,-170.0796814,0.019402526,-0.119440481,9.425758362,1.265279055,-1.472562313,0.403078377,-0.077392578,-0.420898438,-1.040283203, 
4172,1402810758,-0.670682669,0.133066535,-170.079834,-0.006541745,-0.106106952,9.419287682,1.254636407,-1.373268723,0.453448802,-0.080810547,-0.421386719,-1.037841797, 
4173,1402819091,-0.67070967,0.132986411,-170.0801392,-0.018436119,-0.124926247,9.416194916,1.281710625,-1.419963479,0.5283705,-0.082275391,-0.418945313,-1.035400391, 
