PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
142,4222822759,-0.347626,-0.607295,0.273868,-0.659811,9.749595642,0.663164318,1.115232229,0.138137579,3.709402323,-5.079213619,-2.042480469,0.818847656,-0.398925781
143,4222831092,-0.34791,-0.607213,0.273592,-0.659852,9.698983192,0.615069389,1.184117317,-0.321970969,3.719340324,-4.344943047,-2.043945313,0.817382813,-0.401855469
144,4222839425,-0.348175,-0.607177,0.273264,-0.659881,9.76674366,0.661188304,1.109740138,0.502192676,3.377851963,-4.854294777,-2.040527344,0.818847656,-0.400878906
145,4222847758,-0.348444,-0.60713,0.272942,-0.659916,9.808490753,0.703661442,1.124641657,0.390770763,3.51055932,-4.762339115,-2.042480469,0.816894531,-0.402832031
146,4222856091,-0.348716,-0.607031,0.272685,-0.659969,9.772834778,0.708214998,1.11292398,-0.415962368,3.83232522,-3.962509632,-2.041503906,0.818847656,-0.401855469
147,4222864424,-0.348973,-0.606936,0.272453,-0.660017,9.755626678,0.658207953,1.10419333,-0.508711457,3.588477373,-3.65401125,-2.040527344,0.815429688,-0.402832031
148,4222872757,-0.349211,-0.606847,0.272178,-0.660086,9.707389832,0.705091119,1.146835208,0.140033036,3.844594479,-3.767611027,-2.044921875,0.816894531,-0.399902344
149,4222881090,-0.349437,-0.606753,0.271925,-0.660158,9.677488327,0.841517687,1.228944659,0.043697882,3.748464108,-3.439799309,-2.043457031,0.814941406,-0.403808594
150,4222889423,-0.349636,-0.606642,0.271782,-0.660213,9.693518639,0.81106472,1.210337639,-0.889633477,3.139779806,-2.292268991,-2.043945313,0.814941406,-0.400878906
151,4222897756,-0.349826,-0.606519,0.271673,-0.66027,9.726366997,0.678157687,1.127568007,-1.179151297,3.078766823,-1.867123961,-2.04296875,0.813476563,-0.405761719
152,4222906089,-0.350012,-0.606408,0.271543,-0.660327,9.739167213,0.589508712,1.115036011,-0.883550107,3.046889544,-2.075534105,-2.044921875,0.814453125,-0.403320313
153,4222914422,-0.350198,-0.606336,0.271348,-0.660375,9.758363724,0.627556384,1.141126633,-0.151930824,2.924043894,-2.781769514,-2.046875,0.814453125,-0.403808594
154,4222922755,-0.350391,-0.606238,0.27121,-0.660418,9.770443916,0.663869739,1.170306444,-0.86177808,2.879142523,-2.311876774,-2.043457031,0.813964844,-0.403808594
155,4222931088,-0.35058,-0.606142,0.271081,-0.66046,9.735681534,0.622051775,1.170725465,-0.898995459,2.789978743,-2.196894169,-2.046875,0.813476563,-0.406738281
156,4222939421,-0.350757,-0.606063,0.270936,-0.660498,9.726208687,0.618499637,1.172365665,-0.587897956,2.644093752,-2.319112778,-2.045410156,0.8125,-0.403808594
