PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
2891,343629238,0.794100106,-0.273390591,0.100231975,-0.533495128,1.159824491,-5.401842117,7.738287449,-90.48216248,-14.34136391,5.683469296,-0.990722656,0.6015625,-1.249023438, 
2892,343637571,0.792821348,-0.278167367,0.102920726,-0.532414734,1.161174417,-5.503914356,7.366082191,-77.00020599,-9.432209969,5.748031139,-0.992675781,0.609863281,-1.244140625, 
2893,343645904,0.791847348,-0.281721771,0.105103336,-0.531567991,1.228725672,-5.518186092,7.225265026,-58.60683441,-5.636020184,5.198668957,-0.989257813,0.6171875,-1.23828125, 
2894,343654237,0.791237772,-0.283913642,0.1067601,-0.530979097,1.277784586,-5.546015739,7.109042168,-38.00550079,-0.832361162,5.014005184,-0.990722656,0.620117188,-1.233886719, 
2895,343662570,0.791001081,-0.284932107,0.107968993,-0.530541599,1.250417709,-5.419964314,7.22769928,-20.41586304,2.811227798,6.034626961,-0.987304688,0.621582031,-1.229492188, 
2896,343670903,0.790966392,-0.285374641,0.108948931,-0.530154943,1.173535585,-5.354321003,7.262308121,-11.48824215,4.51693058,6.941958427,-0.988769531,0.619628906,-1.232910156, 
2897,343679236,0.791144192,-0.28518492,0.109750099,-0.529826641,1.12955308,-5.531142712,7.125146866,-2.506327391,6.998692513,8.070929527,-0.989746094,0.624511719,-1.227050781, 
2898,343687569,0.79165411,-0.28399983,0.110330224,-0.52958107,1.137216926,-5.715999126,7.178808212,11.48195553,11.76412201,10.2577219,-0.987792969,0.627929688,-1.229003906, 
2899,343695902,0.792539597,-0.281462133,0.110464543,-0.529583097,1.204996467,-5.745836258,7.302388668,31.17946625,17.06472015,10.57649994,-0.981445313,0.623535156,-1.232910156, 
2900,343704235,0.793704391,-0.277752429,0.109690823,-0.52995801,1.292197943,-5.568338394,7.545258999,52.32954788,16.81406212,6.845332623,-0.982421875,0.620117188,-1.237304688, 
2901,343712568,0.79499495,-0.273353815,0.107853055,-0.530687332,1.29978168,-5.379597664,7.693184853,68.51117706,11.29624462,0.833708346,-0.979003906,0.615722656,-1.247070313, 
2902,343720901,0.796446681,-0.268289298,0.105257265,-0.531615615,1.052701354,-5.294789791,7.695098877,82.33080292,8.466592789,-1.992594361,-0.979003906,0.609375,-1.255371094, 
2903,343729234,0.798042059,-0.262375414,0.102037899,-0.53280139,0.947251439,-5.16830349,7.63152647,96.99154663,8.500141144,-4.863978386,-0.974609375,0.600097656,-1.258300781, 
2904,343737567,0.799721301,-0.255574793,0.098010153,-0.534342825,0.989762485,-5.067550182,7.617665768,113.5519562,7.38199234,-9.795456886,-0.97265625,0.592285156,-1.268066406, 
2905,343745900,0.801585495,-0.247531161,0.093094774,-0.53621155,0.962115407,-5.051429749,7.639029503,134.7367096,7.56135416,-13.51029205,-0.978027344,0.578125,-1.284179688, 
2906,343754233,0.803819954,-0.237312004,0.087035596,-0.538499594,1.030266523,-4.942275524,7.685212612,169.0488281,12.04193115,-16.48008156,-0.976074219,0.560546875,-1.296875, 
2907,343762566,0.806257784,-0.224961177,0.079927571,-0.541251719,0.995691299,-4.473932266,7.827954769,201.5109558,17.40987396,-21.00202942,-0.977539063,0.545410156,-1.311523438, 
2908,343770899,0.808719516,-0.210824013,0.072148353,-0.544354379,0.940882385,-4.093175888,7.769148827,226.8652344,24.41765976,-24.79693413,-0.979492188,0.520019531,-1.330566406, 
2909,343779232,0.81110847,-0.195136711,0.06358552,-0.547706485,0.832440436,-3.768319607,7.867165089,249.9267578,28.00663185,-28.87335205,-0.975097656,0.493164063,-1.352539063, 
2910,343787565,0.813463986,-0.177969411,0.054255158,-0.551054001,0.894201815,-3.563644648,7.942135334,272.2092285,30.70562172,-29.81870461,-0.975097656,0.465332031,-1.37109375, 
2911,343795898,0.815759659,-0.159316972,0.044062823,-0.55426842,1.077831268,-3.323379755,8.608355522,295.0345459,31.93906212,-29.79983139,-0.971679688,0.430664063,-1.393554688, 
2912,343804231,0.817777038,-0.139399379,0.033069983,-0.557418644,0.866971135,-3.246460676,9.053421974,314.7635193,32.72783279,-32.1728363,-0.970703125,0.3984375,-1.415527344, 
2913,343812564,0.818663538,-0.120483369,0.022570375,-0.561039329,-0.000771245,-3.455438137,9.764885902,297.6886597,31.91452026,-45.64912415,-0.96875,0.358886719,-1.434570313, 
2914,343820897,0.819733679,-0.101295292,0.011370153,-0.563602448,2.183522701,-0.714744985,8.274395943,306.2072449,24.41430283,-33.39498901,-0.967285156,0.322753906,-1.453125, 
2915,343829230,0.820897579,-0.082307488,-0.000827799,-0.56511277,1.453511238,-0.578833938,8.420511246,311.5895081,10.0279026,-22.22275162,-0.965332031,0.286621094,-1.46875, 
2916,343837563,0.821810961,-0.063362762,-0.014403588,-0.566043258,0.764225662,-0.572828293,8.789037704,321.5963135,-6.416415215,-19.18200302,-0.967773438,0.243652344,-1.483886719, 
2917,343845896,0.822214007,-0.044849005,-0.028493652,-0.566693723,0.741762042,-0.348222315,9.143119812,320.2686462,-16.02128792,-20.3419838,-0.966308594,0.202636719,-1.491699219, 
2918,343854229,0.822229087,-0.026145643,-0.042604368,-0.566958249,0.810235977,0.008679748,9.158259392,322.5570374,-15.07449532,-19.09737587,-0.966796875,0.165527344,-1.499511719, 
2919,343862562,0.821905315,-0.007703275,-0.056332204,-0.566780031,0.897837818,0.513070107,9.327898979,316.6801147,-13.22937679,-16.42534256,-0.971191406,0.127441406,-1.506835938, 
2920,343870895,0.821266055,0.00976894,-0.069104306,-0.566261172,0.759434462,0.996865451,9.414940834,298.568512,-10.17765713,-14.19981956,-0.97265625,0.089355469,-1.508300781, 
2921,343879228,0.820350051,0.026188124,-0.081359252,-0.565438986,0.732857049,1.341051221,9.541965485,282.8934937,-12.85076427,-11.96847057,-0.966796875,0.048828125,-1.512207031, 
2922,343887561,0.819078505,0.042301193,-0.092956595,-0.564518034,0.581274569,1.548308969,9.647374153,274.6418762,-8.081585884,-13.54254532,-0.973144531,0.015625,-1.513183594, 
2923,343895894,0.817232788,0.058291081,-0.104137525,-0.563816369,0.748157203,2.028697968,9.475392342,270.3200378,-4.643918037,-16.93683052,-0.970214844,-0.018066406,-1.512695313, 
2924,343904227,0.815124035,0.07462167,-0.11545454,-0.562739253,0.873374462,2.456790209,9.436069489,275.7070313,-4.174491882,-18.75112343,-0.969238281,-0.054199219,-1.512207031, 
2925,343912560,0.812377274,0.091402583,-0.127737701,-0.561580479,0.998561502,2.907387495,9.231844902,289.3309631,-11.40872192,-18.24331093,-0.969238281,-0.087402344,-1.5078125, 
2926,343920893,0.809381068,0.108355418,-0.140712976,-0.559787631,1.042411208,3.214066982,9.008738518,297.7143555,-18.49407196,-16.77120018,-0.969238281,-0.129882813,-1.502441406, 
2927,343929226,0.806276917,0.124898031,-0.153467566,-0.557464063,0.952317238,3.721190453,9.178051949,292.1637573,-20.13628578,-15.13157749,-0.975097656,-0.1640625,-1.499023438, 
2928,343937559,0.802821517,0.140260294,-0.165607288,-0.55531919,0.939797759,4.059653282,8.866636276,275.0567627,-21.89294624,-14.46749496,-0.97265625,-0.199707031,-1.488769531, 
2929,343945892,0.799484551,0.154527366,-0.176763758,-0.5529024,0.8299945,4.313720703,8.659692764,255.3540802,-20.43849182,-13.73857021,-0.975097656,-0.228515625,-1.480957031, 
2930,343954225,0.795851469,0.167775273,-0.187414095,-0.550771117,1.0208565,4.568165302,8.335412979,240.7258606,-22.11807442,-13.95334625,-0.978027344,-0.259277344,-1.469238281, 
