PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
50,4222047790,-0.635704,-0.285464,0.688548,-0.20075,9.804122925,0.867904305,-1.109691978,-0.317168266,0.085551545,0.042980686,-1.007324219,-0.851074219,0.157226563
51,4222056123,-0.635715,-0.285473,0.688529,-0.200768,9.79390049,0.848069549,-1.105650663,-0.114738964,0.179683849,-0.154210493,-1.010742188,-0.849121094,0.16015625
52,4222064456,-0.635722,-0.285492,0.688511,-0.200781,9.763523102,0.853005111,-1.093233347,-0.05249637,0.07174547,-0.269423336,-1.008789063,-0.850097656,0.159667969
53,4222072789,-0.63573,-0.285515,0.688486,-0.200807,9.770111084,0.865114868,-1.09273982,0.180836499,0.197229609,-0.236918882,-1.008789063,-0.851074219,0.159667969
54,4222081122,-0.635732,-0.28554,0.688467,-0.200832,9.77186203,0.886473298,-1.092625737,0.137650892,0.067595959,-0.217887476,-1.012207031,-0.849609375,0.157714844
55,4222089455,-0.635735,-0.285546,0.688458,-0.200845,9.785432816,0.865243673,-1.08887732,0.138009489,0.034732901,-0.14457953,-1.008300781,-0.850097656,0.158203125
56,4222097788,-0.635731,-0.285561,0.688453,-0.200857,9.826325417,0.872074604,-1.086252213,-0.0868963,-0.141480237,-0.154620335,-1.009765625,-0.851074219,0.156738281
57,4222106121,-0.635722,-0.285576,0.688449,-0.200876,9.833263397,0.856774688,-1.081753016,-0.168708161,-0.169117987,-0.065892614,-1.01171875,-0.848632813,0.158691406
58,4222114454,-0.63572,-0.285573,0.688453,-0.200873,9.789881706,0.857632637,-1.084407091,-0.41629535,-0.204311937,-0.095374599,-1.010742188,-0.846191406,0.155761719
59,4222122787,-0.63572,-0.285565,0.68846,-0.200858,9.777171135,0.837962687,-1.115850687,-0.555739284,-0.234229356,-0.151444167,-1.009765625,-0.853515625,0.157226563
60,4222131120,-0.635711,-0.28557,0.688468,-0.200851,9.771921158,0.846860826,-1.088533998,-0.361583322,-0.340425968,-0.168195859,-1.009765625,-0.853027344,0.156738281
61,4222139453,-0.635707,-0.285566,0.688477,-0.200838,9.807928085,0.855215371,-1.099520683,-0.380051225,-0.280258179,-0.162586346,-1.011230469,-0.849121094,0.157714844
62,4222147786,-0.635707,-0.285558,0.688483,-0.200831,9.770325661,0.870429456,-1.101852536,-0.513731897,-0.204465628,-0.087639101,-1.008789063,-0.849121094,0.158203125
63,4222156119,-0.635706,-0.285552,0.68849,-0.200818,9.777986526,0.873805583,-1.129555464,-0.573208213,-0.245781377,-0.130363658,-1.011230469,-0.849121094,0.157226563
64,4222164452,-0.635702,-0.285549,0.688493,-0.200824,9.796404839,0.825001955,-1.162630081,-0.327004105,-0.179312453,-0.018762426,-1.009277344,-0.852050781,0.158203125
65,4222172785,-0.635697,-0.285566,0.688486,-0.200843,9.790331841,0.761455894,-1.151500463,-0.028393377,-0.096783385,-0.122397617,-1.0078125,-0.848144531,0.158203125
66,4222181118,-0.635697,-0.285593,0.688466,-0.200871,9.794301987,0.765118182,-1.126694322,0.197178394,0.06733983,-0.205131605,-1.0078125,-0.851074219,0.159667969
67,4222189451,-0.635695,-0.285612,0.688458,-0.200876,9.77650547,0.773215175,-1.12996316,-0.12946716,-0.125010282,-0.280437469,-1.007324219,-0.848144531,0.157714844
68,4222197784,-0.635701,-0.285636,0.688449,-0.200856,9.779838562,0.744510829,-1.180233359,-0.333510131,-0.16217652,-0.567854762,-1.008300781,-0.849609375,0.157226563
69,4222206117,-0.635713,-0.28566,0.688433,-0.200839,9.779774666,0.760111153,-1.168109298,-0.259023964,-0.003803714,-0.59769541,-1.007324219,-0.851074219,0.157714844
70,4222214450,-0.635716,-0.285697,0.688413,-0.200848,9.813721657,0.81703347,-1.157587528,0.093543194,-0.013409053,-0.478333026,-1.010253906,-0.848632813,0.159179688
71,4222222783,-0.635723,-0.285717,0.688393,-0.200861,9.812934875,0.821582675,-1.158717632,0.131119266,0.111037709,-0.311123312,-1.010253906,-0.850097656,0.159179688
72,4222231116,-0.635746,-0.285735,0.688366,-0.200859,9.794659615,0.770690203,-1.147523403,-0.234536752,0.255783737,-0.468650877,-1.010742188,-0.8515625,0.158203125
73,4222239449,-0.635785,-0.285726,0.68835,-0.200802,9.779223442,0.685456932,-1.131958842,-1.111721873,0.163367584,-0.694209754,-1.006347656,-0.8515625,0.157226563
74,4222247782,-0.63584,-0.285697,0.688342,-0.200698,9.827025414,0.686239362,-1.147049546,-1.783531904,0.123563059,-0.938748896,-1.011230469,-0.849121094,0.155761719
75,4222256115,-0.635907,-0.285659,0.688328,-0.200587,9.83698082,0.58086729,-1.283220291,-2.116081715,0.271946371,-0.953374565,-1.009765625,-0.851074219,0.155761719
76,4222264448,-0.635966,-0.285718,0.68827,-0.200516,9.888198853,0.52624768,-1.24465096,-0.590446472,0.476014882,-1.685864925,-1.009277344,-0.849121094,0.157714844
77,4222272781,-0.636003,-0.285821,0.688206,-0.200472,9.833947182,0.586476982,-1.217743874,0.392307639,0.335341603,-1.866394281,-1.0078125,-0.852050781,0.157714844
78,4222281114,-0.636021,-0.28594,0.688152,-0.20043,9.862118721,0.747252941,-1.15739572,0.37243098,0.001203869,-1.873591781,-1.012695313,-0.851074219,0.158203125
79,4222289447,-0.636072,-0.285951,0.68813,-0.200324,9.892829895,0.975011528,-1.130288601,-1.15101397,0.117057048,-1.4026227,-1.010742188,-0.852539063,0.158203125
80,4222297780,-0.636093,-0.285936,0.688127,-0.200289,9.874335289,1.003164887,-1.065308928,-0.882935584,-0.015253278,-0.349211663,-1.009277344,-0.851074219,0.156738281
81,4222306113,-0.636103,-0.285958,0.688101,-0.200317,9.760325432,1.030889511,-0.985018313,0.1761491,0.243642583,-0.218579084,-1.012207031,-0.850585938,0.155761719
82,4222314446,-0.636096,-0.286012,0.688084,-0.200322,9.664442062,1.187250376,-0.968216002,0.232705325,-0.199342787,-0.636270404,-1.010253906,-0.851074219,0.156738281
83,4222322779,-0.636078,-0.286082,0.688059,-0.200363,9.686730385,1.266832829,-0.980390131,0.994575143,-0.100958511,-0.492625743,-1.0078125,-0.851074219,0.15625
84,4222331112,-0.636024,-0.286137,0.688052,-0.200478,9.74888134,1.2479496,-0.956392705,1.449355721,-0.295754731,0.481086522,-1.012207031,-0.852050781,0.154296875
85,4222339445,-0.635945,-0.286171,0.688062,-0.200649,9.7530756,1.113903403,-0.916247427,1.807750225,-0.389169842,1.319696665,-1.013183594,-0.853515625,0.159179688
86,4222347778,-0.635849,-0.286216,0.688076,-0.200841,9.743930817,0.956120253,-0.978863716,2.183895111,-0.555508673,1.459114909,-1.010253906,-0.8515625,0.157714844
87,4222356111,-0.63573,-0.286301,0.688093,-0.201037,9.74075222,0.854853392,-1.009068847,2.85847187,-0.854452431,1.159838319,-1.010742188,-0.854980469,0.157226563
88,4222364444,-0.635585,-0.286417,0.688114,-0.201261,9.800198555,0.822903454,-1.040244102,3.293272972,-1.14350903,1.22254169,-1.0078125,-0.8515625,0.159179688
89,4222372777,-0.635439,-0.286522,0.688144,-0.201469,9.827222824,0.836637616,-1.052612185,3.121351004,-1.244787812,1.224949598,-1.010742188,-0.853027344,0.160644531
90,4222381110,-0.635306,-0.286564,0.688203,-0.201625,9.820152283,0.914195657,-1.125709414,1.84358418,-1.418785214,1.444873333,-1.010742188,-0.852539063,0.163574219
91,4222389443,-0.635197,-0.286505,0.688307,-0.201697,9.805669785,0.983112514,-1.128531933,-0.042404369,-1.637120962,1.789589882,-1.0078125,-0.850097656,0.157226563
92,4222397776,-0.635081,-0.286434,0.68842,-0.201779,9.858463287,0.957696795,-1.218693018,-0.060078193,-1.703974247,2.02547121,-1.013183594,-0.853027344,0.162109375
93,4222406109,-0.634953,-0.28641,0.688491,-0.201972,9.868453026,0.821401596,-1.255175591,1.600531101,-1.148785591,2.428997993,-1.014160156,-0.850097656,0.163574219
94,4222414442,-0.634786,-0.286478,0.688527,-0.20228,9.814002037,0.752866447,-1.244595766,3.711144447,-1.011980057,2.547284603,-1.014648438,-0.84765625,0.159179688
95,4222422775,-0.634591,-0.286643,0.688512,-0.20271,9.838020325,0.83501035,-1.216919422,5.947676659,-0.61782819,2.549845934,-1.010742188,-0.848144531,0.159179688
96,4222431108,-0.634392,-0.28687,0.688454,-0.203205,9.825724602,0.960144997,-1.240056753,7.257948399,-0.208717629,2.388527632,-1.013671875,-0.84765625,0.166015625
97,4222439441,-0.634196,-0.287135,0.688366,-0.20374,9.823795319,1.053375363,-1.19997561,7.825815678,0.132809833,2.248315334,-1.012207031,-0.848632813,0.159667969
98,4222447774,-0.634005,-0.287361,0.688289,-0.204277,9.784580231,1.127160549,-1.142969489,7.674870968,0.204222336,2.666391134,-1.010742188,-0.84765625,0.159667969
99,4222456107,-0.633821,-0.287513,0.688235,-0.204814,9.802179337,1.113192916,-1.106811047,6.843561649,0.27422604,3.436406612,-1.014648438,-0.848144531,0.165527344
100,4222464440,-0.63364,-0.287605,0.688211,-0.205326,9.834295273,1.08659935,-1.066368222,6.084507942,0.116442323,3.896437168,-1.009277344,-0.848144531,0.1640625
101,4222472773,-0.633448,-0.287705,0.688185,-0.205863,9.85317421,1.032544971,-1.051134825,6.439649582,0.119695343,4.03647089,-1.014160156,-0.845703125,0.1640625
102,4222481106,-0.633231,-0.287816,0.688162,-0.206452,9.822051048,0.972388983,-1.037819147,7.108155727,0.011219034,4.495810509,-1.012207031,-0.845703125,0.163085938
103,4222489439,-0.632968,-0.288001,0.688122,-0.207133,9.804457664,0.894566596,-1.010232329,9.009322166,-0.088868603,4.626904488,-1.012695313,-0.849609375,0.165039063
104,4222497772,-0.632644,-0.288277,0.688068,-0.207917,9.833481789,0.857112646,-0.975984573,10.90703011,-0.420675457,4.800723553,-1.014648438,-0.844726563,0.166015625
105,4222506105,-0.632273,-0.288616,0.688011,-0.208761,9.850171089,0.841143012,-0.940066099,12.45020866,-0.760806859,4.83071661,-1.012207031,-0.846679688,0.166992188
106,4222514438,-0.631859,-0.289024,0.687942,-0.209676,9.85710907,0.87081629,-0.888092577,13.69173145,-1.00762558,4.894214153,-1.013183594,-0.843261719,0.169921875
107,4222522771,-0.63142,-0.289403,0.687913,-0.210566,9.789482117,0.856226385,-0.881216168,14.21452045,-1.511970162,5.057941914,-1.012207031,-0.842285156,0.171875
108,4222531104,-0.630964,-0.289797,0.6879,-0.211434,9.763056755,0.882211447,-0.883348703,13.12463379,-2.036498308,4.962016582,-1.015625,-0.845703125,0.173339844
109,4222539437,-0.630515,-0.290126,0.687938,-0.212197,9.739603043,0.964021444,-0.908509731,11.02800465,-2.661895752,4.895521164,-1.014160156,-0.843261719,0.171386719
110,4222547770,-0.630096,-0.29033,0.688045,-0.212813,9.784309387,0.959127784,-0.962895632,8.599802017,-3.167034388,4.941986084,-1.013671875,-0.842285156,0.171875
111,4222556103,-0.629692,-0.290414,0.688214,-0.213349,9.864659309,0.908232808,-0.972114503,6.552275658,-3.529885054,5.582060337,-1.015136719,-0.843261719,0.175292969
112,4222564436,-0.629298,-0.290434,0.688418,-0.213827,9.88942337,0.781710863,-1.014484882,5.321280479,-3.793890953,5.806363583,-1.017578125,-0.842773438,0.174804688
113,4222572769,-0.628895,-0.290459,0.688634,-0.214281,9.852499008,0.652589619,-0.997821629,5.130941391,-4.083818436,5.625525951,-1.01953125,-0.842285156,0.174316406
114,4222581102,-0.628491,-0.290512,0.688847,-0.214711,9.794850349,0.593043447,-1.040371656,5.158680916,-4.261555195,5.142236233,-1.014160156,-0.83984375,0.176757813
115,4222589435,-0.628093,-0.290562,0.689075,-0.215078,9.739367485,0.618189573,-1.072611213,4.458542824,-4.554608822,4.667272568,-1.016601563,-0.83984375,0.181152344
116,4222597768,-0.627709,-0.290555,0.689338,-0.215364,9.697778702,0.718557417,-1.124053001,3.052602291,-4.887388706,4.611484528,-1.01953125,-0.840820313,0.177734375
117,4222606101,-0.627359,-0.29045,0.689642,-0.21555,9.735246658,0.78975594,-1.200351596,0.999544322,-5.030546188,4.735534668,-1.021484375,-0.838867188,0.180664063
118,4222614434,-0.627063,-0.290238,0.689972,-0.215641,9.788639069,0.799553573,-1.273414493,-1.116972804,-4.820637226,4.870981693,-1.021484375,-0.837402344,0.1796875
119,4222622767,-0.626811,-0.289954,0.690313,-0.215664,9.792678833,0.777997434,-1.367109537,-2.595477581,-4.53506422,4.885530949,-1.01953125,-0.838867188,0.181152344
120,4222631100,-0.626602,-0.289631,0.690646,-0.215641,9.807806969,0.707344055,-1.418333769,-3.513287067,-4.126312733,4.700520039,-1.020507813,-0.836425781,0.180664063
121,4222639433,-0.626427,-0.289314,0.690942,-0.215627,9.832953453,0.707878053,-1.475663066,-3.401045084,-3.47069025,4.47060585,-1.018066406,-0.836425781,0.181152344
122,4222647766,-0.62628,-0.289024,0.691185,-0.215664,9.795541763,0.635085046,-1.485007882,-2.641890526,-2.63064599,4.356264114,-1.01953125,-0.836425781,0.186035156
123,4222656099,-0.626151,-0.288784,0.69138,-0.215735,9.754904747,0.640289128,-1.479304314,-1.817317009,-2.05150795,3.940186739,-1.01953125,-0.834472656,0.182128906
124,4222664432,-0.626046,-0.288566,0.691534,-0.215839,9.702498436,0.629892051,-1.444482327,-1.283132315,-1.406208754,3.778714657,-1.019042969,-0.832519531,0.183105469
125,4222672765,-0.625955,-0.28836,0.691663,-0.215964,9.761945724,0.61434269,-1.413460493,-0.956832469,-1.008547544,3.692291975,-1.020507813,-0.833496094,0.182617188
126,4222681098,-0.62587,-0.288165,0.691777,-0.216106,9.836502075,0.581853807,-1.338572979,-0.699742436,-0.79374671,3.66045332,-1.01953125,-0.830566406,0.180175781
127,4222689431,-0.625799,-0.287987,0.691868,-0.216256,9.871515274,0.547559559,-1.275410533,-0.445290685,-0.482918024,3.443270683,-1.021972656,-0.833496094,0.181152344
128,4222697764,-0.625732,-0.287817,0.691957,-0.216391,9.855285645,0.538867474,-1.208670974,-0.54472512,-0.498619497,3.213356972,-1.021972656,-0.833984375,0.1796875
129,4222706097,-0.625653,-0.28767,0.692049,-0.216521,9.764862061,0.56197381,-1.15149045,-0.36855039,-0.729583025,3.007085323,-1.024902344,-0.832519531,0.182128906
